Date,PCR
2012/8/28,-1.555251839
2012/8/29,-1.555042384
2012/8/30,-1.557054063
2012/8/31,-1.560210959
2012/9/4,-1.559015896
2012/9/5,-1.556913348
2012/9/6,-1.550131763
2012/9/7,-1.551614957
2012/9/10,-1.554857596
2012/9/11,-1.55569348
2012/9/12,-1.555312144
2012/9/13,-1.551474631
2012/9/14,-1.553850728
2012/9/17,-1.545511628
2012/9/18,-1.540362423
2012/9/19,-1.531357
2012/9/20,-1.532397356
2012/9/21,-1.538576559
2012/9/24,-1.535118171
2012/9/25,-1.540401558
2012/9/26,-1.538339066
2012/9/27,-1.539835281
2012/9/28,-1.545432831
2012/10/1,-1.54511768
2012/10/2,-1.542829733
2012/10/3,-1.530953896
2012/10/4,-1.538635648
2012/10/5,-1.535094628
2012/10/8,-1.534709459
2012/10/9,-1.546119786
2012/10/10,-1.547415291
2012/10/11,-1.551856904
2012/10/12,-1.549028503
2012/10/15,-1.543981914
2012/10/16,-1.540360604
2012/10/17,-1.538851103
2012/10/18,-1.54011021
2012/10/19,-1.541443617
2012/10/22,-1.536355567
2012/10/23,-1.536223722
2012/10/24,-1.535717166
2012/10/25,-1.534949398
2012/10/26,-1.536215333
2012/10/31,-1.53538324
2012/11/1,-1.531620194
2012/11/2,-1.526721138
2012/11/5,-1.528456056
2012/11/6,-1.535132188
2012/11/7,-1.534014836
2012/11/8,-1.540602478
2012/11/9,-1.543222991
2012/11/12,-1.541207035
2012/11/13,-1.54148033
2012/11/14,-1.550173319
2012/11/15,-1.54866139
2012/11/16,-1.548508366
2012/11/19,-1.548967813
2012/11/20,-1.54350159
2012/11/21,-1.544908103
2012/11/23,-1.541572181
2012/11/26,-1.540619089
2012/11/27,-1.542149453
2012/11/28,-1.536395626
2012/11/29,-1.538912502
2012/11/30,-1.5392824
2012/12/3,-1.541935535
2012/12/4,-1.5386449
2012/12/5,-1.536736849
2012/12/6,-1.530125522
2012/12/7,-1.526743511
2012/12/10,-1.525431763
2012/12/11,-1.522766706
2012/12/12,-1.525966603
2012/12/13,-1.524662435
2012/12/14,-1.530212059
2012/12/17,-1.52500017
2012/12/18,-1.522415434
2012/12/19,-1.528729478
2012/12/20,-1.525400207
2012/12/21,-1.529456095
2012/12/24,-1.529941781
2012/12/26,-1.537510385
2012/12/27,-1.537732368
2012/12/28,-1.541548585
2012/12/31,-1.535679551
2013/1/2,-1.528685453
2013/1/3,-1.527988846
2013/1/4,-1.523856786
2013/1/7,-1.526376891
2013/1/8,-1.528494833
2013/1/9,-1.526683536
2013/1/10,-1.525698333
2013/1/11,-1.523336216
2013/1/14,-1.52732386
2013/1/15,-1.525032025
2013/1/16,-1.525839728
2013/1/17,-1.526295608
2013/1/18,-1.52705428
2013/1/22,-1.526844456
2013/1/23,-1.524784789
2013/1/24,-1.526133681
2013/1/25,-1.522728414
2013/1/28,-1.524945883
2013/1/29,-1.526607209
2013/1/30,-1.531820949
2013/1/31,-1.532518654
2013/2/1,-1.530442231
2013/2/4,-1.53204318
2013/2/5,-1.529487106
2013/2/6,-1.528814005
2013/2/7,-1.527710822
2013/2/8,-1.527675742
2013/2/11,-1.527132967
2013/2/12,-1.526851503
2013/2/13,-1.526256561
2013/2/14,-1.525970429
2013/2/15,-1.524295434
2013/2/19,-1.520847768
2013/2/20,-1.521553813
2013/2/21,-1.517009988
2013/2/22,-1.513321609
2013/2/25,-1.522006366
2013/2/26,-1.515692344
2013/2/27,-1.507962224
2013/2/28,-1.507540657
2013/3/1,-1.502373426
2013/3/4,-1.498555717
2013/3/5,-1.498414644
